,business_id,name,address,state,city,stars,postal_code,latitude,longitude,review_count,attributes,categories,hours,RestaurantsReservations,RestaurantsGoodForGroups,RestaurantsAttire,BusinessAcceptsCreditCards,WiFi,HasTV,RestaurantsTakeOut,Ambience,GoodForKids,GoodForMeal,NoiseLevel,RestaurantsPriceRange2,Alcohol,DogsAllowed,HappyHour,RestaurantsDelivery,WheelchairAccessible,OutdoorSeating,RestaurantsTableService,BusinessParking,BikeParking,BusinessAcceptsBitcoin,Caters,Smoking,CoatCheck,Music,GoodForDancing,BestNights,BYOBCorkage,BYOB,Corkage,DriveThru,ByAppointmentOnly,AgesAllowed,valet,garage,street,lot,validated
39387,z3eM7Wb7EsCuJbNz5IYu_Q,Bossam Bar,719 Sansom St,PA,Philadelphia,3.5,19106,39.94888,-75.153243,15,"{'RestaurantsReservations': 'True', 'RestaurantsDelivery': 'True', 'Ambience': ""{'romantic': False, 'intimate': False, 'touristy': False, 'hipster': False, 'divey': False, 'classy': False, 'trendy': False, 'upscale': False, 'casual': True}"", 'BusinessParking': ""{'garage': False, 'street': True, 'validated': False, 'lot': False, 'valet': False}"", 'HasTV': 'False', 'RestaurantsGoodForGroups': 'True', 'GoodForKids': 'True', 'BusinessAcceptsCreditCards': 'True', 'NoiseLevel': ""u'average'"", 'Caters': 'True', 'WiFi': ""u'no'"", 'OutdoorSeating': 'False', 'RestaurantsPriceRange2': '1', 'RestaurantsTakeOut': 'True', 'Alcohol': ""u'none'"", 'RestaurantsAttire': ""u'casual'""}","Korean, Japanese, Restaurants, Asian Fusion","{'Monday': '11:0-23:0', 'Tuesday': '11:0-23:0', 'Wednesday': '11:0-23:0', 'Thursday': '11:0-23:0', 'Friday': '11:0-23:0', 'Saturday': '12:0-20:0'}",True,True,u'casual',True,u'no',False,True,"{'romantic': False, 'intimate': False, 'touristy': False, 'hipster': False, 'divey': False, 'classy': False, 'trendy': False, 'upscale': False, 'casual': True}",True,,u'average',1,u'none',,,True,,False,,"{'garage': False, 'street': True, 'validated': False, 'lot': False, 'valet': False}",,,True,,,,,,,,,,,,False,False,True,False,False
39462,WAmcXAO2Q5-qvyj9oT88fw,Tokyo Bleu,602 Rt 130 N,NJ,Cinnaminson,4.0,08077,39.9943962,-74.997151,92,"{'RestaurantsReservations': 'True', 'GoodForKids': 'True', 'Alcohol': ""u'none'"", 'OutdoorSeating': 'False', 'RestaurantsTakeOut': 'True', 'BusinessAcceptsCreditCards': 'True', 'RestaurantsAttire': ""u'casual'"", 'BusinessParking': ""{'garage': False, 'street': False, 'validated': False, 'lot': True, 'valet': False}"", 'RestaurantsPriceRange2': '2', 'RestaurantsGoodForGroups': 'True', 'WiFi': ""'free'"", 'HasTV': 'True', 'Caters': 'False', 'NoiseLevel': ""u'quiet'"", 'BikeParking': 'False', 'RestaurantsTableService': 'True', 'BYOB': 'True', 'GoodForMeal': ""{u'breakfast': False, u'brunch': False, u'lunch': None, u'dinner': True, u'latenight': False, u'dessert': False}"", 'Corkage': 'False', 'DogsAllowed': 'False', 'WheelchairAccessible': 'True', 'Ambience': ""{u'divey': False, u'hipster': False, u'casual': None, u'touristy': False, u'trendy': False, u'intimate': True, u'romantic': False, u'classy': None, u'upscale': False}"", 'RestaurantsDelivery': 'True'}","Japanese, Asian Fusion, Seafood, Restaurants, Sushi Bars","{'Monday': '11:0-21:30', 'Tuesday': '11:15-21:30', 'Wednesday': '11:15-21:30', 'Thursday': '11:15-21:30', 'Friday': '11:15-22:15', 'Saturday': '12:0-22:15', 'Sunday': '12:0-21:30'}",True,True,u'casual',True,'free',True,True,"{u'divey': False, u'hipster': False, u'casual': None, u'touristy': False, u'trendy': False, u'intimate': True, u'romantic': False, u'classy': None, u'upscale': False}",True,"{u'breakfast': False, u'brunch': False, u'lunch': None, u'dinner': True, u'latenight': False, u'dessert': False}",u'quiet',2,u'none',False,,True,True,False,True,"{'garage': False, 'street': False, 'validated': False, 'lot': True, 'valet': False}",False,,False,,,,,,,True,False,,,,False,False,False,True,False
39634,2DBo3WFKwpbtl9kJzuroIg,Mika,7020 Market Place Dr,CA,Goleta,2.5,93117,34.4287687,-119.871605,31,"{'RestaurantsPriceRange2': '2', 'RestaurantsReservations': 'False', 'RestaurantsAttire': ""'casual'"", 'Corkage': 'False', 'BYOBCorkage': ""'yes_free'"", 'RestaurantsTakeOut': 'True', 'GoodForKids': 'True', 'BusinessAcceptsCreditCards': 'True', 'BusinessParking': ""{'garage': False, 'street': False, 'validated': False, 'lot': True, 'valet': False}"", 'RestaurantsGoodForGroups': 'True', 'OutdoorSeating': 'True', 'RestaurantsDelivery': 'False', 'NoiseLevel': ""u'average'"", 'Alcohol': ""u'beer_and_wine'"", 'HasTV': 'True'}","Restaurants, Japanese",,False,True,'casual',True,,True,True,,True,,u'average',2,u'beer_and_wine',,,False,,True,,"{'garage': False, 'street': False, 'validated': False, 'lot': True, 'valet': False}",,,,,,,,,'yes_free',,False,,,,False,False,False,True,False
39721,VlzexKYF6St7-N4tAoGBqg,Pinang Asian Cuisine,218 Louviers Dr,DE,Newark,4.0,19711,39.7116964,-75.7419416,142,"{'BusinessParking': ""{'garage': False, 'street': False, 'validated': False, 'lot': True, 'valet': False}"", 'NoiseLevel': ""u'average'"", 'RestaurantsReservations': 'True', 'RestaurantsAttire': ""u'casual'"", 'RestaurantsGoodForGroups': 'True', 'BikeParking': 'True', 'GoodForKids': 'True', 'Caters': 'True', 'RestaurantsPriceRange2': '2', 'HasTV': 'True', 'Ambience': ""{'romantic': False, 'intimate': False, 'touristy': False, 'hipster': False, 'divey': False, 'classy': False, 'trendy': False, 'upscale': False, 'casual': True}"", 'OutdoorSeating': 'False', 'RestaurantsTakeOut': 'True', 'BusinessAcceptsCreditCards': 'True', 'WiFi': ""u'free'"", 'GoodForMeal': ""{'dessert': False, 'latenight': False, 'lunch': True, 'dinner': True, 'brunch': False, 'breakfast': False}"", 'Alcohol': ""u'beer_and_wine'"", 'RestaurantsDelivery': 'None'}","Asian Fusion, Thai, Malaysian, Japanese, Restaurants","{'Monday': '11:0-22:0', 'Tuesday': '11:0-22:0', 'Wednesday': '11:0-22:0', 'Thursday': '11:0-22:0', 'Friday': '11:0-22:0', 'Saturday': '11:0-22:0', 'Sunday': '11:0-22:0'}",True,True,u'casual',True,u'free',True,True,"{'romantic': False, 'intimate': False, 'touristy': False, 'hipster': False, 'divey': False, 'classy': False, 'trendy': False, 'upscale': False, 'casual': True}",True,"{'dessert': False, 'latenight': False, 'lunch': True, 'dinner': True, 'brunch': False, 'breakfast': False}",u'average',2,u'beer_and_wine',,,,,False,,"{'garage': False, 'street': False, 'validated': False, 'lot': True, 'valet': False}",True,,True,,,,,,,,,,,,False,False,False,True,False
39772,kLqLi4dHEqYpuqUAX_7QLA,Sakana Sushi Asian Grill,2908 W Gandy Blvd,FL,Tampa,4.0,33611,27.893209,-82.490857,116,"{'RestaurantsReservations': 'True', 'HasTV': 'True', 'Caters': 'False', 'RestaurantsGoodForGroups': 'True', 'RestaurantsPriceRange2': '2', 'RestaurantsDelivery': 'False', 'WiFi': ""u'free'"", 'GoodForKids': 'True', 'OutdoorSeating': 'True', 'BusinessAcceptsCreditCards': 'True', 'RestaurantsAttire': ""u'casual'"", 'RestaurantsTakeOut': 'True', 'BusinessParking': ""{'garage': False, 'street': False, 'validated': False, 'lot': True, 'valet': False}"", 'HappyHour': 'True', 'BikeParking': 'True', 'Alcohol': ""u'full_bar'"", 'RestaurantsTableService': 'False', 'BYOB': 'True', 'Corkage': 'True', 'NoiseLevel': ""u'quiet'"", 'Ambience': ""{'touristy': False, 'hipster': False, 'romantic': False, 'divey': False, 'intimate': False, 'trendy': False, 'upscale': False, 'classy': True, 'casual': True}"", 'GoodForMeal': ""{'dessert': None, 'latenight': None, 'lunch': None, 'dinner': True, 'brunch': False, 'breakfast': False}"", 'WheelchairAccessible': 'False'}","Japanese, Sushi Bars, Asian Fusion, Restaurants","{'Monday': '17:0-22:0', 'Wednesday': '17:0-22:0', 'Thursday': '17:0-22:0', 'Friday': '17:0-21:0', 'Saturday': '17:0-21:0', 'Sunday': '17:0-22:0'}",True,True,u'casual',True,u'free',True,True,"{'touristy': False, 'hipster': False, 'romantic': False, 'divey': False, 'intimate': False, 'trendy': False, 'upscale': False, 'classy': True, 'casual': True}",True,"{'dessert': None, 'latenight': None, 'lunch': None, 'dinner': True, 'brunch': False, 'breakfast': False}",u'quiet',2,u'full_bar',,True,False,False,True,False,"{'garage': False, 'street': False, 'validated': False, 'lot': True, 'valet': False}",True,,False,,,,,,,True,True,,,,False,False,False,True,False
39811,c9KXvNm7dvtnf10M9Vxfaw,E.B.I. Sushi,7900 4th St N,FL,St. Petersburg,4.5,33702,27.8449531,-82.6391229,58,"{'RestaurantsAttire': ""u'casual'"", 'Caters': 'True', 'RestaurantsReservations': 'True', 'RestaurantsTakeOut': 'True', 'BusinessAcceptsCreditCards': 'True', 'Alcohol': ""u'beer_and_wine'"", 'HappyHour': 'True', 'WiFi': ""u'free'"", 'OutdoorSeating': 'True', 'BusinessParking': ""{'garage': False, 'street': False, 'validated': False, 'lot': True, 'valet': False}"", 'HasTV': 'True', 'RestaurantsTableService': 'True', 'RestaurantsDelivery': 'True'}","Soup, Japanese, Chinese, Sushi Bars, Dim Sum, Asian Fusion, Restaurants","{'Monday': '11:0-21:0', 'Wednesday': '11:0-21:0', 'Thursday': '11:0-21:0', 'Friday': '11:0-22:0', 'Saturday': '11:0-22:0', 'Sunday': '16:0-21:0'}",True,,u'casual',True,u'free',True,True,,,,,,u'beer_and_wine',,True,True,,True,True,"{'garage': False, 'street': False, 'validated': False, 'lot': True, 'valet': False}",,,True,,,,,,,,,,,,False,False,False,True,False
39864,7ABcgM9T7SD7H_-MLy61MQ,Riverfront Market,3 S Orange St,DE,Wilmington,3.5,19801,39.7375722936,-75.5542902219,21,"{'RestaurantsReservations': 'False', 'GoodForKids': 'True', 'RestaurantsGoodForGroups': 'True', 'BusinessAcceptsCreditCards': 'True', 'OutdoorSeating': 'True', 'RestaurantsAttire': ""u'casual'"", 'Alcohol': ""u'none'"", 'RestaurantsPriceRange2': '2', 'BusinessParking': ""{'garage': False, 'street': False, 'validated': False, 'lot': True, 'valet': False}"", 'RestaurantsTakeOut': 'None', 'RestaurantsDelivery': 'None', 'BikeParking': 'True'}","Shopping Centers, Shopping, Food, Specialty Food, Fruits & Veggies, Sushi Bars, Restaurants","{'Monday': '9:0-18:0', 'Tuesday': '9:0-18:0', 'Wednesday': '9:0-18:0', 'Thursday': '9:0-18:0', 'Friday': '9:0-18:0', 'Saturday': '9:0-16:0'}",False,True,u'casual',True,,,,,True,,,2,u'none',,,,,True,,"{'garage': False, 'street': False, 'validated': False, 'lot': True, 'valet': False}",True,,,,,,,,,,,,,,False,False,False,True,False
39941,LCXRkGG1RhisKLVTHH3jiQ,Asian Fusion & Steak,2647 S 13th St,PA,Philadelphia,3.5,19148,39.9167625,-75.1690051,43,"{'RestaurantsReservations': 'False', 'Caters': 'True', 'GoodForKids': 'True', 'RestaurantsPriceRange2': '1', 'Ambience': ""{'romantic': False, 'intimate': False, 'touristy': False, 'hipster': False, 'divey': False, 'classy': False, 'trendy': False, 'upscale': False, 'casual': False}"", 'NoiseLevel': ""u'quiet'"", 'BusinessParking': ""{'garage': False, 'street': True, 'validated': False, 'lot': False, 'valet': False}"", 'RestaurantsGoodForGroups': 'True', 'Alcohol': ""u'none'"", 'RestaurantsAttire': ""u'casual'"", 'OutdoorSeating': 'False', 'RestaurantsDelivery': 'True', 'BikeParking': 'True', 'BusinessAcceptsCreditCards': 'True', 'WiFi': ""'no'"", 'HasTV': 'True', 'RestaurantsTakeOut': 'True'}","Chinese, Asian Fusion, Restaurants, Sushi Bars","{'Monday': '11:0-22:0', 'Tuesday': '11:0-22:0', 'Wednesday': '11:0-22:0', 'Thursday': '11:0-22:0', 'Friday': '11:0-23:0', 'Saturday': '11:0-23:0', 'Sunday': '12:0-22:0'}",False,True,u'casual',True,'no',True,True,"{'romantic': False, 'intimate': False, 'touristy': False, 'hipster': False, 'divey': False, 'classy': False, 'trendy': False, 'upscale': False, 'casual': False}",True,,u'quiet',1,u'none',,,True,,False,,"{'garage': False, 'street': True, 'validated': False, 'lot': False, 'valet': False}",True,,True,,,,,,,,,,,,False,False,True,False,False
39963,hFwNJ5AU6yca5wwI_e4Eiw,Hibachi Express Of Seminole,11220 Park Blvd N,FL,Seminole,5.0,33772,27.8400357,-82.7939061,9,"{'OutdoorSeating': 'True', 'WiFi': ""u'free'"", 'BusinessParking': ""{u'valet': False, u'garage': False, u'street': False, u'lot': True, u'validated': False}"", 'HasTV': 'True', 'RestaurantsTakeOut': 'True'}","Restaurants, Sushi Bars, Asian Fusion, Japanese, Teppanyaki","{'Monday': '10:30-21:30', 'Tuesday': '10:30-21:30', 'Wednesday': '10:30-21:30', 'Thursday': '10:30-21:30', 'Friday': '10:30-22:30', 'Saturday': '10:30-22:30', 'Sunday': '11:30-21:30'}",,,,,u'free',True,True,,,,,,,,,,,True,,"{'valet': False, 'garage': False, 'street': False, 'lot': True, 'validated': False}",,,,,,,,,,,,,,,False,False,False,True,False
40034,748Tn5Hsf4LMCCA_WxVBfA,Little Asia,6527 Madrid Rd,CA,Isla Vista,2.5,93117,34.4123325,-119.8549832,29,"{'BusinessParking': ""{'garage': False, 'street': True, 'validated': False, 'lot': False, 'valet': False}"", 'RestaurantsAttire': ""'casual'"", 'RestaurantsTakeOut': 'True', 'RestaurantsPriceRange2': '1', 'OutdoorSeating': 'True', 'GoodForKids': 'True', 'RestaurantsDelivery': 'False', 'BusinessAcceptsCreditCards': 'True', 'RestaurantsGoodForGroups': 'True', 'NoiseLevel': ""u'quiet'"", 'Caters': 'False', 'BYOBCorkage': ""'no'"", 'RestaurantsReservations': 'False', 'WiFi': ""u'no'"", 'HasTV': 'False', 'Alcohol': ""u'none'""}","Japanese, Chinese, Korean, Asian Fusion, Restaurants",,False,True,'casual',True,u'no',False,True,,True,,u'quiet',1,u'none',,,False,,True,,"{'garage': False, 'street': True, 'validated': False, 'lot': False, 'valet': False}",,,False,,,,,,'no',,,,,,False,False,True,False,False
40054,3zVcQ-g4OUJoPn_kTl6vyg,Sushi Shop,5206 Windermere Boulevard,AB,Edmonton,2.5,T6W,53.4347516879,-113.6030844811,25,"{'RestaurantsReservations': 'False', 'GoodForKids': 'True', 'RestaurantsPriceRange2': '2', 'BikeParking': 'True', 'GoodForMeal': ""{'dessert': False, 'latenight': False, 'lunch': False, 'dinner': False, 'brunch': False, 'breakfast': False}"", 'RestaurantsGoodForGroups': 'False', 'WiFi': ""'no'"", 'RestaurantsDelivery': 'True', 'OutdoorSeating': 'False', 'Ambience': ""{'touristy': False, 'hipster': False, 'romantic': False, 'intimate': False, 'trendy': False, 'upscale': False, 'classy': False, 'casual': False}"", 'RestaurantsTakeOut': 'True', 'RestaurantsAttire': ""'casual'""}","Restaurants, Sushi Bars, Japanese",,False,False,'casual',,'no',,True,"{'touristy': False, 'hipster': False, 'romantic': False, 'intimate': False, 'trendy': False, 'upscale': False, 'classy': False, 'casual': False}",True,"{'dessert': False, 'latenight': False, 'lunch': False, 'dinner': False, 'brunch': False, 'breakfast': False}",,2,,,,True,,False,,,True,,,,,,,,,,,,,,,,,,
40097,ODDbQCvJBFwLDimkT9KoYA,BaiKu Sushi Lounge,3407 Olive St,MO,Saint Louis,4.0,63103,38.6368932,-90.2285725,71,"{'RestaurantsTakeOut': 'True', 'HasTV': 'False', 'GoodForKids': 'False', 'BikeParking': 'True', 'RestaurantsGoodForGroups': 'True', 'RestaurantsDelivery': 'False', 'CoatCheck': 'False', 'Music': ""{'dj': False, 'background_music': False, 'no_music': False, 'jukebox': False, 'live': False, 'video': False, 'karaoke': False}"", 'BusinessAcceptsCreditCards': 'True', 'BusinessParking': ""{'garage': False, 'street': True, 'validated': False, 'lot': False, 'valet': False}"", 'NoiseLevel': ""u'quiet'"", 'Ambience': ""{'touristy': False, 'hipster': False, 'romantic': False, 'divey': False, 'intimate': False, 'trendy': True, 'upscale': False, 'classy': True, 'casual': False}"", 'WheelchairAccessible': 'True', 'RestaurantsReservations': 'True', 'OutdoorSeating': 'True', 'RestaurantsPriceRange2': '2', 'BestNights': ""{'monday': False, 'tuesday': False, 'friday': False, 'wednesday': False, 'thursday': False, 'sunday': False, 'saturday': False}"", 'Alcohol': ""u'full_bar'"", 'RestaurantsAttire': ""'casual'"", 'GoodForMeal': ""{'dessert': False, 'latenight': False, 'lunch': False, 'dinner': True, 'brunch': False, 'breakfast': False}"", 'BusinessAcceptsBitcoin': 'False', 'WiFi': ""'no'"", 'Caters': 'True', 'RestaurantsTableService': 'True', 'HappyHour': 'True', 'Smoking': ""u'no'"", 'GoodForDancing': 'False'}","Nightlife, Bars, Restaurants, Lounges, Asian Fusion, Sushi Bars, Japanese","{'Monday': '0:0-0:0', 'Tuesday': '16:30-21:0', 'Wednesday': '16:30-21:0', 'Thursday': '16:30-21:0', 'Friday': '16:30-22:0', 'Saturday': '17:0-22:0'}",True,True,'casual',True,'no',False,True,"{'touristy': False, 'hipster': False, 'romantic': False, 'divey': False, 'intimate': False, 'trendy': True, 'upscale': False, 'classy': True, 'casual': False}",False,"{'dessert': False, 'latenight': False, 'lunch': False, 'dinner': True, 'brunch': False, 'breakfast': False}",u'quiet',2,u'full_bar',,True,False,True,True,True,"{'garage': False, 'street': True, 'validated': False, 'lot': False, 'valet': False}",True,False,True,u'no',False,"{'dj': False, 'background_music': False, 'no_music': False, 'jukebox': False, 'live': False, 'video': False, 'karaoke': False}",False,"{'monday': False, 'tuesday': False, 'friday': False, 'wednesday': False, 'thursday': False, 'sunday': False, 'saturday': False}",,,,,,,False,False,True,False,False
40099,ZiAN059-ILJnFNta9t--NA,Shangrila,120 W Swedesford Rd,PA,Devon,3.5,19333,40.0705214,-75.4379677,56,"{'BikeParking': 'True', 'OutdoorSeating': 'False', 'RestaurantsPriceRange2': '2', 'BusinessAcceptsCreditCards': 'True', 'Alcohol': ""'full_bar'"", 'HasTV': 'True', 'NoiseLevel': ""u'quiet'"", 'WiFi': ""u'no'"", 'Ambience': ""{'romantic': False, 'intimate': False, 'classy': False, 'hipster': False, 'divey': False, 'touristy': False, 'trendy': False, 'upscale': False, 'casual': True}"", 'GoodForKids': 'True', 'RestaurantsTakeOut': 'True', 'RestaurantsAttire': ""'casual'"", 'RestaurantsDelivery': 'False', 'RestaurantsReservations': 'True', 'BusinessParking': ""{'garage': False, 'street': False, 'validated': False, 'lot': True, 'valet': False}"", 'Caters': 'True', 'GoodForMeal': ""{'dessert': False, 'latenight': False, 'lunch': True, 'dinner': True, 'brunch': False, 'breakfast': False}"", 'RestaurantsGoodForGroups': 'True', 'HappyHour': 'True'}","Sushi Bars, Chinese, Asian Fusion, Restaurants","{'Monday': '11:30-21:30', 'Tuesday': '11:30-21:30', 'Wednesday': '11:30-21:30', 'Thursday': '11:30-21:30', 'Friday': '11:30-22:30', 'Saturday': '12:0-22:30', 'Sunday': '12:0-21:30'}",True,True,'casual',True,u'no',True,True,"{'romantic': False, 'intimate': False, 'classy': False, 'hipster': False, 'divey': False, 'touristy': False, 'trendy': False, 'upscale': False, 'casual': True}",True,"{'dessert': False, 'latenight': False, 'lunch': True, 'dinner': True, 'brunch': False, 'breakfast': False}",u'quiet',2,'full_bar',,True,False,,False,,"{'garage': False, 'street': False, 'validated': False, 'lot': True, 'valet': False}",True,,True,,,,,,,,,,,,False,False,False,True,False
40155,7HE_mWkvZ8GxsP0sLP-_ng,The PokéSpot,1804 Chestnut St,PA,Philadelphia,4.0,19103,39.9515786,-75.1706125,99,"{'BusinessAcceptsCreditCards': 'True', 'RestaurantsReservations': 'False', 'RestaurantsPriceRange2': '2', 'WheelchairAccessible': 'False', 'RestaurantsGoodForGroups': 'True', 'Caters': 'True', 'RestaurantsTakeOut': 'True', 'RestaurantsDelivery': 'None', 'GoodForKids': 'True', 'BusinessParking': ""{'garage': False, 'street': True, 'validated': False, 'lot': False, 'valet': False}"", 'BikeParking': 'True', 'Ambience': ""{'touristy': False, 'hipster': False, 'romantic': False, 'divey': False, 'intimate': False, 'trendy': False, 'upscale': False, 'classy': False, 'casual': True}"", 'NoiseLevel': ""u'average'""}","Fast Food, Poke, Food, Restaurants, Hawaiian, Japanese","{'Monday': '0:0-0:0', 'Tuesday': '11:0-21:0', 'Wednesday': '11:0-21:0', 'Thursday': '11:0-21:0', 'Friday': '11:0-21:0', 'Saturday': '11:0-21:0', 'Sunday': '11:0-21:0'}",False,True,,True,,,True,"{'touristy': False, 'hipster': False, 'romantic': False, 'divey': False, 'intimate': False, 'trendy': False, 'upscale': False, 'classy': False, 'casual': True}",True,,u'average',2,,,,,False,,,"{'garage': False, 'street': True, 'validated': False, 'lot': False, 'valet': False}",True,,True,,,,,,,,,,,,False,False,True,False,False
40160,i3pBufSYEgx3_nLxxRrtGg,Maeda Restaurant,1208 State Street,CA,Santa Barbara,3.5,93101,34.4236434,-119.7045362,6,"{'BusinessAcceptsCreditCards': 'True', 'RestaurantsPriceRange2': '2', 'RestaurantsAttire': ""'casual'"", 'RestaurantsGoodForGroups': 'True'}","Restaurants, Japanese",,,True,'casual',True,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,
40303,TdLZpW0GG0NXsBjtX_SlRg,Hibachi Express,752 E Chestnut Hill Rd,DE,Newark,3.0,19713,39.6774003939,-75.6993482926,21,"{'RestaurantsPriceRange2': '1', 'RestaurantsReservations': 'False', 'RestaurantsGoodForGroups': 'False', 'WiFi': ""'no'"", 'GoodForKids': 'False', 'BusinessAcceptsCreditCards': 'True', 'RestaurantsDelivery': 'True', 'OutdoorSeating': 'False', 'HasTV': 'True', 'RestaurantsTakeOut': 'True'}","Japanese, Restaurants","{'Monday': '10:30-22:0', 'Tuesday': '10:30-22:0', 'Wednesday': '10:30-22:0', 'Thursday': '10:30-22:0', 'Friday': '10:30-22:30', 'Saturday': '10:30-22:30', 'Sunday': '11:30-21:0'}",False,False,,True,'no',True,True,,False,,,1,,,,True,,False,,,,,,,,,,,,,,,,,,,,,
40323,jJbygynjo79uPbGwhPiONw,Crab general,921 Broad Ripple Ave,IN,Indianapolis,3.5,46220,39.8695127,-86.142204,74,"{'RestaurantsPriceRange2': '2', 'BusinessAcceptsCreditCards': 'True', 'RestaurantsTableService': 'True', 'HasTV': 'True', 'DogsAllowed': 'False', 'BikeParking': 'True', 'ByAppointmentOnly': 'False', 'WheelchairAccessible': 'True', 'RestaurantsReservations': 'True', 'Alcohol': ""u'full_bar'"", 'RestaurantsTakeOut': 'True', 'RestaurantsDelivery': 'False', 'NoiseLevel': ""u'average'"", 'Ambience': ""{'touristy': False, 'hipster': False, 'romantic': False, 'divey': False, 'intimate': False, 'trendy': False, 'upscale': False, 'classy': False, 'casual': False}"", 'GoodForKids': 'True', 'Caters': 'True', 'RestaurantsGoodForGroups': 'True', 'RestaurantsAttire': ""u'casual'"", 'BusinessParking': ""{'garage': False, 'street': True, 'validated': False, 'lot': False, 'valet': False}"", 'OutdoorSeating': 'True', 'GoodForMeal': ""{'dessert': False, 'latenight': False, 'lunch': False, 'dinner': False, 'brunch': False, 'breakfast': False}"", 'WiFi': ""u'no'""}","Seafood, Nightlife, Restaurants, Bars, Hot Pot, Japanese","{'Monday': '11:30-22:30', 'Tuesday': '11:30-22:30', 'Wednesday': '11:30-22:30', 'Thursday': '11:30-22:30', 'Friday': '11:30-23:30', 'Saturday': '11:30-23:30', 'Sunday': '12:0-22:0'}",True,True,u'casual',True,u'no',True,True,"{'touristy': False, 'hipster': False, 'romantic': False, 'divey': False, 'intimate': False, 'trendy': False, 'upscale': False, 'classy': False, 'casual': False}",True,"{'dessert': False, 'latenight': False, 'lunch': False, 'dinner': False, 'brunch': False, 'breakfast': False}",u'average',2,u'full_bar',False,,False,True,True,True,"{'garage': False, 'street': True, 'validated': False, 'lot': False, 'valet': False}",True,,True,,,,,,,,,,False,,False,False,True,False,False
40359,ousw5N7YGlqgipfSxJjjGw,Sushi Fune,"10801 Starkey Rd, Ste 18",FL,Seminole,4.0,33777,27.8699899,-82.7601136,6,"{'RestaurantsAttire': ""u'casual'"", 'RestaurantsPriceRange2': '2', 'BusinessAcceptsCreditCards': 'True', 'OutdoorSeating': 'False', 'RestaurantsGoodForGroups': 'True', 'BusinessParking': ""{'garage': False, 'street': False, 'validated': False, 'lot': True, 'valet': False}"", 'RestaurantsReservations': 'True', 'GoodForKids': 'True', 'Alcohol': ""u'beer_and_wine'"", 'RestaurantsTakeOut': 'True', 'RestaurantsDelivery': 'False'}","Restaurants, Sushi Bars",,True,True,u'casual',True,,,True,,True,,,2,u'beer_and_wine',,,False,,False,,"{'garage': False, 'street': False, 'validated': False, 'lot': True, 'valet': False}",,,,,,,,,,,,,,,False,False,False,True,False
40440,H7nagsl9oVcEaArJI4RIrQ,More Food Court,7300 Old York Rd,PA,Elkins Park,4.0,19027,40.0629077119,-75.1368946116,91,"{'WiFi': ""u'no'"", 'Caters': 'False', 'NoiseLevel': ""u'average'"", 'RestaurantsGoodForGroups': 'True', 'OutdoorSeating': 'False', 'BikeParking': 'True', 'RestaurantsTakeOut': 'True', 'BusinessAcceptsCreditCards': 'True', 'RestaurantsDelivery': 'False', 'Alcohol': ""u'none'"", 'GoodForKids': 'True', 'RestaurantsReservations': 'False', 'HasTV': 'True', 'BusinessParking': ""{'garage': False, 'street': False, 'validated': False, 'lot': True, 'valet': False}"", 'Ambience': ""{'romantic': False, 'intimate': False, 'touristy': False, 'hipster': False, 'divey': False, 'classy': False, 'trendy': False, 'upscale': False, 'casual': True}"", 'RestaurantsTableService': 'False', 'GoodForMeal': ""{'dessert': False, 'latenight': False, 'lunch': True, 'dinner': True, 'brunch': False, 'breakfast': False}"", 'RestaurantsPriceRange2': '1', 'RestaurantsAttire': ""u'casual'""}","Food Court, Korean, Restaurants, Japanese","{'Monday': '10:0-20:30', 'Tuesday': '10:0-20:30', 'Wednesday': '10:0-20:30', 'Thursday': '10:0-20:30', 'Friday': '10:0-20:30', 'Saturday': '10:0-20:30', 'Sunday': '10:0-20:30'}",False,True,u'casual',True,u'no',True,True,"{'romantic': False, 'intimate': False, 'touristy': False, 'hipster': False, 'divey': False, 'classy': False, 'trendy': False, 'upscale': False, 'casual': True}",True,"{'dessert': False, 'latenight': False, 'lunch': True, 'dinner': True, 'brunch': False, 'breakfast': False}",u'average',1,u'none',,,False,,False,False,"{'garage': False, 'street': False, 'validated': False, 'lot': True, 'valet': False}",True,,False,,,,,,,,,,,,False,False,False,True,False
